chunk_text,openai_frame_classification
"I hope that one day the first national industrial heritage park will be based at the former Chatterley Whitfield colliery, the first colliery to produce 1 million tons within a year, in 1937, and it repeated that success in 1939. I give a special call-out to Councillor Dave Evans of Baddeley, Milton and Norton ward, who has a long history and, sadly, has family members who passed away and lost their lives during their time working as miners on that site.",Human Impact
"Absolutely.

We were told during the campaign that we could cut immigration without hitting our economy. We were sold the lie that immigrants come here and take more than they contribute. Between 1995 and 2011, European immigrants made a net contribution of £4.4 billion to our public services. In the same period, our native population cost us £591 billion. Our economy cannot exist without people coming here to do the jobs that people in the country either do not want or do not have the skills to do.

It is almost half a century since a Member of this House, in a very different era, made these same warnings of

“wives unable to obtain hospital beds in childbirth…children unable to obtain school places”

and

“homes and neighbourhoods changed beyond recognition”.",Economic
"Again I ask Conservative Members, especially those who are newly elected, whether they really think that this is what their voters wanted. Their voters may well have voted for Brexit—the Opposition accept that—but did they vote for the Government to break trust with the country on child refugees? Did they vote for the separation of powers between the judiciary and the Executive to be blurred? Did they ask for Ministers to be given more ability to interfere with the independence of the courts? Did they really vote to treat people who have been here legally for years, who have the legal right to be here, who have families and jobs and live here, to be treated differently, as second-class citizens? Did they vote for central Government to be able to impose their will on the devolved legislatures?",Powerlessness
"Finally, I want to address the late new clauses tabled: new clause 78, tabled by the right hon. Member for Carshalton and Wallington (Tom Brake), and new clause 79. On the impact our departure from the EU might have on equalities legislation, I again reaffirm the commitment I made on day one in Committee to my right hon. Friend the Member for Basingstoke (Mrs Miller), the Chair of the Women and Equalities Committee, when we discussed this issue at some length. I understand the intention behind this amendment and can reassure the right hon. Gentleman that there will be no reduction in the substantive equalities protections when we leave the EU. Equally, the right hon. Gentleman’s amendment presents some very real practical difficulties, not least his attempt effectively to copy and paste the procedural model used in the Human Rights Act and then put it into this Bill for the equalities purposes.",Moral Value
"This is not just a question of trust or morality; it is also about our commercial and economic interests. We are going out into the world to negotiate new trade deals post Brexit, but how can any other country trust us to keep to those agreements? If this Bill passes into statute, the Prime Minister will be sending his trade negotiators naked into the conference chambers. This Bill is not only dismantling the manifesto pledge and our international reputation, but it is creating a constitutional crisis, trashing the common frameworks that are the basis for our devolved constitutional settlement and creating the conditions for a race to the bottom on standards, opening the door to chlorinated chicken and hormone-injected beef becoming the norm. Trade negotiations are never a walk in the park. Both sides will always defend their interests, and that is fair enough, but the rules are the rules. A commitment is a commitment. Our word is our bond. I therefore urge hon. Members to behave with honour and to join us in the No Lobby this evening.",Conflict
"I am going to make some progress.

Not content with ignoring the Scottish Government’s compromise option for two years, the Prime Minister now wants to shut Scotland’s voice out entirely. She cannot go on ignoring Scotland. Tomorrow, the Scottish Parliament will debate a cross-party motion that rejects this deal and a no-deal Brexit. Perhaps there are lessons for this place because at Holyrood parties have come together against a damaging Brexit, with a consensus and a desire to work collectively to defend Scotland’s interests. How many of the 13 Tory MPs from Scotland will stand up with us to defend Scotland’s interests? Where are they? I think we know the answer from the failure of the Scottish Tory MPs to stand up against a power grab when Westminster voted to take back control from the Scottish Parliament. We saw, when our powers over fishing, farming and the environment were to be trampled all over by Westminster, that the Scottish Tories turned a blind eye—Scottish Tories standing silent as the Scottish Parliament, our Parliament, which the people of Scotland voted for in such huge numbers in 1997, had its powers constrained.",Powerlessness
"The hon. Gentleman explains succinctly that the supply chain that makes the buses is immense in his constituency and in the wider UK. That is why trade must flourish between Northern Ireland, the United Kingdom and Europe.

It is a fact that we will leave the EU, and it is best to think about how we do it. The Bill covers the initial stages of facilitating that.",Economic
"As I said earlier, we had a full and wide-ranging debate on Europe yesterday, opened by the Foreign Secretary. One speech that was pivotal, and stood out, was the speech made by my right hon. Friend the Member for Mid Sussex (Sir Nicholas Soames). It was a powerful oration, not least because my right hon. Friend mentioned his grandfather. As Members will know, his grandfather, looking at the mess of Europe, was concerned about how countries could integrate to the point at which they were no longer independent but interdependent, and would therefore never go down the road towards war again.",Moral Value
"I thank Members for their contributions regarding the constitutional importance of the Bill. Ending the supremacy of EU law and restoring an Act of Parliament as the highest law in the land is of paramount importance. I am proud that the Bill will build upon the European Union (Withdrawal) Act and ensure that no Act of Parliament is subordinated by retained EU law, which we heard again and again that Opposition Members detest—they hate the idea that we should be a sovereign Parliament, and they detest the fact that British people voted to leave the European Union.

Let me deal with some of the arguments that have been made. I would like to reassure you, Mr Deputy Speaker, and Members that environmental protections will be enhanced, not diminished. It is worth saying that again: environmental protections will be enhanced, not diminished.",Powerlessness
"Some Members tell us this only affects Unionists. No, it does not. Nationalists have come to me who feel afraid to voice complaints to their MP due to the fear of reprisals. I speak with confidence when I say that Northern Ireland, as a whole, needs this Bill not simply for its cultural identity, which is imperative, but for the financial viability of small businesses due to the EU’s vindictive approach to VAT and state aid. This affects not only those who are designated as Unionists but those who are designated as nationalists, too. It affects everyone in the Province, and it affects their pocket.",Human Impact
I am very grateful to the hon. Gentleman for giving way because I just want to clarify this on the record. At no time has any of us ever said that people did not know what they were voting for in the Brexit referendum in 2016. What we do say is that they were wilfully lied to in that campaign.,Moral Value
"A number of people have raised concerns today about the lack of scrutiny and the lack of time to look at this Bill. My right hon. Friend has pointed out that Scotland has of course been ignored in this process—a nation that voted significantly to remain in the EU. Does he share my concern that, in among all this, we continue to forget, conveniently for some perhaps, the fact that this referendum was won on a very narrow margin across the UK? The Electoral Commission has said that electoral law was broken, but that has been swept under the carpet, and I call into question the legitimacy of the result at all.",Conflict
"“the amended Bill, and the inter-governmental agreement that goes with it, does both things we set out to do. It safeguards devolution and it safeguards the future of a successful United Kingdom”.

Lord Griffiths of Burry Port, the Labour party’s Front-Bench spokesman in the other place, said

“everything that could have been done in areas where we have no precedent to appeal to has been done.”—[Official Report, House of Lords, 14 June 2018; Vol. 791, c. 1818.]

In answer to the right hon. Member for Orkney and Shetland (Mr Carmichael), work is already under way on the detailed frameworks. My officials and the officials of the territorial Departments are working with devolved Government officials on that task, and of course he is right that we will have to take account of the views of industry, of farmers and of other interests.

I believe we have a good, balanced compromise package available, and what the people in all parts of the UK now expect is that their different Governments and different legislatures will work together constructively to represent them. That is what people expect, and that is what this Government want to deliver.",Moral Value
"One of the things that most annoys people about the EU among the leave-voting majority is that we cannot sack them. Whatever they do, however bad they are, however much money they waste, however irritating their laws, we have to put up with them. We cannot sack them; we cannot have a general election. [Interruption.] Scottish National party Members say that they feel the same about the Union of the United Kingdom, but we gave them the democratic opportunity, and their people say that they like our system of government, because this is their democracy too. [Interruption.] The hon. and learned Member for Edinburgh South West (Joanna Cherry) should understand that her colleagues in Scotland, and her voters in Scotland, believe in UK democracy, and they have exactly the same rights of voice and vote and redress as all the rest of us.",Powerlessness
"To conclude, as contentious as the Bill might be to some, it is what many have requested for the past four decades, and it is what the Conservative Government have promised. We must also do more to reunite children under the vulnerable children’s scheme, and we therefore need an enduring scheme to be in place by 1 January next year. I am therefore sympathetic towards new clause 29. To be worthy of its pre-eminence, the UK must take back control of its borders.",Powerlessness
"Many inshore fishermen have expressed concern about access to the UK’s six and 12-mile limit by other member states fishing for certain species. There appears to have been disproportionate access to those limits for more than 40 years, and that must stop. A lot of inshore vessels are unable to migrate and have found themselves competing with many larger vessels from other nations in the same waters. Will the Minister give due thought to exclusive access for small UK fishermen to our 12-mile limit when considering any post-CFP management regime?

Turning to this year’s Council of Ministers meeting, it appears that an uplift of total allowable catch is proposed for a number of species. As a consequence, the available quota for the UK fleet will increase. It is also heartening to know that the serious uplift of opportunities that arose from the EU-Norway talks has resulted in better quotas. However, in areas VIId and VIIe off the south-west coast, I am surprised that the quota for Dover sole has not followed ICES recommendations. The uplift of quota proposed by the Commission is less than scientists have suggested. The South West Fish Producers Organisation has also expressed concern about sprat stocks in that area.",Human Impact
"I hope the Government will also look at the advertisements for the EU settlement scheme. It seems quite inappropriate that they are seeking to charge people to retain rights and benefits they already have. I am very concerned, too, about what the deal would do for the protection of workers’ rights. As Opposition Members have said, there are too many vague assurances, when what we actually need is a binding agreement. We need to look at the EU’s direction of travel. It is now seeking to introduce changes to improve the work-life balance of parents and to help those in the gig economy. It is far better than the timid approach adopted here in the UK. We are seeing in Europe a real determination to put in place transparent and predictable working conditions.

While the EU is going in that direction, there is a fear among trade unions here about the lack of enforcement, particularly during the transition period, when disputes will be brought to a joint committee. The difficulty with that is that individuals and trade unions will not be able to take those complaints directly to the disputes committee or the European Court of Justice.",Human Impact
"It will not surprise the hon. Lady to learn that I completely disagree with her. The Government have enormously sought to show courtesy and respect for the devolution settlement and to collaborate closely with officials in the devolved Administrations to ensure that, apart from anything else, we take carefully into account their views and their preparations as we leave the European Union. We have Scotland questions on Wednesday 27 March, which would be the right place for her to raise her particular question.",uneindeutig
My hon. Friend has found an item on Europe on which the shadow Leader of the House and I would agree. The idea that we would deny people across the European Union the opportunity to hold referendums on issues that are important to them is absurd. There is a time and a place in a democracy for referendums and for consulting the people. The idea that we would not do so in future is ludicrous and the author should be profoundly embarrassed by his comments.,Moral Value
"“The challenge that Parliament will face is in balancing the need for speed, and thus for Governmental discretion, with the need for proper parliamentary control of the content of the UK’s statute book.”

Parliament of course can, and does, regularly debate and vote on secondary legislation; we are not considering some form of governmental Executive orders, but using a legislative process of long standing. I hope that today’s White Paper and this statement can be the start of a discussion between Parliament and Government about how best to achieve this balance. Similar corrections will be needed to the statute books of the three devolved Administrations, and so we propose that the Bill will also give Ministers in the devolved Administrations a power to amend devolved legislation to correct their law in line with the way that UK ministers will be able to correct UK law.",uneindeutig
"Although it does not feel like it at the moment, this ancient country, in which we are so very privileged to live, is in general marked apart from many others by the tolerance, good nature and generally civilised manner of its democracy and institutions. These qualities are envied the world over; they need careful nurturing, but are currently entirely absent from the field. What on earth has happened to our pragmatism, self-restraint and common sense? It grieves me that our reputation is now under such extreme pressure at home and abroad; indeed, our reputation has been gravely diminished.",Moral Value
"It is a great pleasure to follow the right hon. Member for Belfast North (Nigel Dodds) as someone who was both present and involved when the confidence and supply arrangement was originally signed. I am delighted that it is in such robust health today.

I rise, as indeed the last two speakers did, to support amendment (n) in the name of my hon. Friend the Member for Altrincham and Sale West (Sir Graham Brady). I do so partly because the House now needs to say something positive. The Prime Minister was right when she said in her opening speech that we all know what we do not like collectively; we now have to start moving down the path quite quickly of things that we do like.",uneindeutig
"It is a pleasure to follow the hon. Member for Darlington (Jenny Chapman) and I echo many of the sentiments she has voiced from the Dispatch Box.

I have reordered my speech so that I can turn quickly to the new clause tabled by the hon. Member for North Down (Lady Hermon) and to the importance of the Belfast/Good Friday agreement. First, I will speak briefly to clause 10 stand part. As those who have studied the Bill will recognise, clause 10 is very short. Schedule 2, which relates to it, is rather more complex and we have a huge number of amendments to schedule 2. I therefore ask whether interventions on those various amendments can wait until we have dealt with the important issue of the Belfast/Good Friday agreement.",uneindeutig
"The reason that we are trying to conjure up a positive economic future for our country outside the EU is to deal with the issue of immigration. I accept that a good number of the people who voted in June to leave the EU did so because they wanted to control or reduce immigration. I understand that when decent jobs and decent homes are scarce and public services are under pressure, some people look around for someone to blame, but although it might be unpopular, I say that we are going to need immigration for some time to come. We are not having enough babies, and we have not been for decades. I am a 41-year-old woman without children. Babies grow up to be taxpayers who fund public services. Who will contributing to my pension and my care in 30 years’ time? The answer is immigrants and their children. I have no fixation with freedom of movement, and if other EU states were up for modifying it, I would be up for the conversation, but it makes no sense to take the economic hit of leaving the single market in order to curb immigration when we have a basic need for it.",Human Impact
"The third issue is the Government’s negotiating objectives, which we dwelt on to a great degree in the Secretary of State’s statement earlier today The truth is that we now know what the Government’s negotiating objectives are in relation to workers’ rights and employment protection, because those have been set out in the debate so far: we are going to move them into domestic legislation We therefore now know what the Government want to do on that We also now know what their negotiating approach is to the motor manufacturing industry, because of the commitments set out clearly to Nissan",Economic
"At the end of the transition period, the UK is no longer bound by the Dublin regulation. These new measures will enable us, by agreement, to replace Dublin with more flexible returns arrangements. This will have a deterrent effect, by sending a clear message to anyone thinking of coming to the UK dangerously from a safe country that they should not risk their lives by doing so. This deterrent effect will also destroy the business model of the ruthless criminal gangs.

Such returns would, of course, reduce numbers in accommodation. I want to be clear that we are not turning our back on those who need our help after fleeing persecution, oppression or tyranny. We stand by our obligations under the 1951 refugee convention, the European convention on human rights and other relevant treaties. We will continue to welcome people to the UK through safe and legal routes, assisting the most vulnerable, providing accommodation and meeting essential living needs.",Human Impact
"I would like to thank the Secretary of State and the Ministers for all they have been doing to push ceramics. They never fail to mention ceramics in the many trade agreements we are seeking to secure. It fits very much as well with the recent work of VisitBritain, which shows that this is a place that the Japanese see as the world’s best destination for revisiting places of nostalgic importance. That is very much about the ceramics industry and the ceramics that we want to see very much pushed with further trade agreements.",Economic
"They have lost sight of a simple point, which might explain why they are so muddled on this matter: the Human Rights Act is a British Bill of Rights. These are the basic rights that Britain wrote and promoted around the world in the post-war period—rights that protect ordinary people from the unaccountable power of the state and vested interests.

Look at some of the examples of how those rights have helped people fight injustice. I think of the elderly couple, Mr and Mrs Driscoll, who had lived together as a married couple for 65 years but who were then put in separate care homes by a local authority. They used the Human Rights Act to be brought back together. I also think that if the Human Rights Act had been in place in 1989, the Hillsborough families would have had much more ability to challenge the cruel decision of the original inquest to impose a 3.15 cut-off time, which prevented them from finding out basic details about what happened to their loved ones.",Human Impact
"Does the hon. Gentleman agree that, if the Government had had the political will to do this, they could have ended live animal exports by now? There are already references in the EU treaties to public morals, so they could have done it if they had had the political will to do so. Also, if the Government really want to persuade us that they care as much about animal welfare as they claim to do, why on earth would they oppose the new clause? It will simply ensure that we do not have a gap when we leave the EU and before the new Bill, if it happens, comes in?",Moral Value
"Some of the challenges are made clear in the 2017 social progress index, published in the past couple of days, which shows the UK ranking 12th in factors relating to basic needs, wellbeing and opportunity. Social progress has not increased in the past four years, and we are going backwards on key measures. The report’s results also show how widespread the impact of austerity has become. There is disillusionment about the affordability of housing, rising crime, growing intolerance and poor health outcomes. Far from our seeing quality of life improving, things show every prospect of going backwards. Is it not devastating that we, as a developed country, risk creating a homeless generation with people being unable to get on to the housing ladder or living in cramped accommodation where they work? Our children and our families deserve better.

Destitution in the UK is on the rise. A report by the Joseph Rowntree Foundation a year ago highlighted some key facts. The general public consider people to be destitute when they cannot afford to buy the essentials to eat, stay warm and dry, and keep clean. About 1.25 million people, including 300,000 children, were in that situation at some point a year ago.",Human Impact
"For Northern Ireland Unionists, the Belfast principles include the constitutional guarantee, through the consent principle, that Northern Ireland remains part of the United Kingdom unless and until there is a border poll and the people of Northern Ireland, and only Northern Ireland, say otherwise. It is not in the gift of No. 10, thank goodness; it is not in the gift of Dublin; it is governed by the people of Northern Ireland in a border poll. The constitutional principle is guaranteed among the Belfast principles in the Good Friday agreement, as is the principle of mutual respect for all communities across Northern Ireland, who were so divided by the troubles—respect and equality, irrespective of how a person votes, their political opinion and views or their religion. Non-discrimination and equal respect for all is guaranteed in the Belfast agreement.",Moral Value
"The referendum on 23 June on the European Union represents the biggest constitutional decision for the nation in a generation. The Government’s position is clear: Britain will be stronger, safer and better off remaining in a reformed European Union. Today’s Government document setting out the process of leaving underlines that case, showing that a vote to leave could lead to up to a decade or more of damaging uncertainty, with real consequences putting jobs and investment at risk. I concur with that assessment.

Because of the significance of the referendum, as the House knows the Prime Minister took the decision to allow collective responsibility to be suspended on the referendum question. This approach was discussed and agreed by the Cabinet on 20 February. The process is clear: Ministers may depart from the Government position in a personal capacity on the specific question of the referendum. On all other matters, including on other EU business, the Government will operate as normal, and in all things the civil servants support the Government position.",Economic
"May I say that I probably would not agree with the conclusion reached by the right hon. Member for Mid Sussex (Sir Nicholas Soames), but it was a pleasure to hear that speech?

I know that the Chancellor has had to go to a Cabinet committee meeting—I suspect there may be a number of those between now and next Tuesday—so I understand why he is not in his place. However, I would like to say that I agree with him in one particular regard—that to have no deal and to revert to WTO rules would be the worst possible outcome we could reach.

I would also say that I thought the Chancellor was incredibly sincere when he said that not to agree with the Prime Minister’s arrangements in this withdrawal deal would fracture society. I have absolutely no doubt of the sincerity with which he said that but, as a democrat, I say no less sincerely that, when the circumstances change and the actual consequences of what we may embark on become clear, we have a right to change our minds, whatever that means to any individual.",Human Impact
"In my own constituency, 39% of jobs are in sectors identified as being severely impacted by a no-deal Brexit, or a bad deal with the EU. I am extremely angry, as are my constituents that, as an MP, I will have very little say over preventing this. Food standards are also a very huge concern to my constituents who are deeply worried that decades of progress in animal welfare, hygiene, husbandry and environmental management are going to be stripped away. Farmers and consumers will be worse off.

I am very disappointed that the Bill went through several days of scrutiny in the Committee, which I was a member of, without any changes whatsoever, and today we have just a few minutes of parliamentary debate starting in the late afternoon on only one day before the Bill goes to the next stage. In Committee, we heard evidence about how much stronger our trade negotiators could be if they had the backing of parliamentary red lines written into our legislation, but we were told over and over again by the Minister that proposals for parliamentary scrutiny of food standards, environmental standards and workers’ rights were not necessary.",Human Impact
"As a Government, we are committed to ensuring that devolution continues to serve this Union well. My right hon. Friend the Chancellor of the Duchy of Lancaster recently gave a speech to the Law Society of Scotland on the importance of devolution, emphasising that the UK Government’s vision for the UK is one of strong devolved Parliaments within a strong United Kingdom. Just a few days ago, the Prime Minister restated the paramount importance and value of the Union in Stirling. Devolution is not an alternative to the Union. It is not either/or. It is an integral part of a modern Union that will last for generations and serve all parts of our United Kingdom well.",Powerlessness
"That is a whole new argument, which I accept, but I am not going there now.

The referendum represents not just a turning point in itself, but just one point on a trend that is increasingly paralysing our entire continent, the unity of which is being shattered by the very institution that was intended to unite it. Let us look at the eurozone and at the Schengen free travel area and the migration crisis. Whereas in 1975 my party, myself included, was enthusiastic for membership of the European Communities, today my party—and, I believe, my country—knows that the world is utterly different.

Today, the strongest arguments for remaining appear to be ones saying that we are determined not to participate in the three main purposes of the EU: we will not join the euro, we will not join the Schengen free travel area and we will not be in a political union. What is the point of our being in this arrangement when we are so opposed to its principal purposes?",Powerlessness
"In my maiden speech, I said that democracy was messy. Of course it is. I never expected a perfect deal, and I also knew there would be concessions. Had this deal been on the ballot paper in the 2016 referendum, I would have voted for it as better than remaining. I have received thousands of wholly irreconcilable opinions from my constituents asking me to do things that are mutually exclusive. I have looked at what the best option is to satisfy as many as possible, and I believe this deal respects the referendum while looking after those who have concerns about the significant change we are making in our relationship with the EU. So I am supporting this deal, not because it is perfect or it is exactly what I wanted, and not just because I think it is good for the 52%, but because it is also good for the 48%.",Conflict
"As many Members have already suggested, our transport infrastructure plays a critical role in the functioning of our modern society, connecting our communities. I am particularly pleased to speak in this debate having recently taken on the role of chair of the Conservative Back-Bench transport group. We are planning to cover a number of wide-ranging transport topics from future rail connectivity following HS2 to the future of our shipping and ports following Brexit. Of course it would be remiss of me not to use this opportunity to invite the Minister to one of our future meetings.",uneindeutig
"Brexit is a great opportunity to turbocharge global Britain, but unfortunately it has not worked so far for fishermen in my beautiful constituency of Hastings and Rye. Had it not been for Mr Keith Chapman setting up an export hub in Rye for local fishermen, many might not have survived. He did that at his own expense, and he has not been eligible for any of the Government funding made available to the fishing industry. What further support can be provided to assist entrepreneurs such as Mr Chapman when exports are hit by the double whammy of covid and Brexit?",Human Impact
I welcome my right hon. Friend to his responsibilities. Does he agree that it would be frankly unconscionable for any Government to lead us into a no-deal Brexit in which the Northern Ireland civil service lacked the legal powers and authority to cope with those circumstances? Does this not point to the need for legislation to be introduced and enacted before the end of October?,Powerlessness
"Amendment 16, page 2, line 11, at end insert—

‘(3A) Polling stations are to be open from 6 am to midnight on each designated day or days for the referendum.’.

Amendment 61, page 2, line 11, at end insert—

‘(3A) The Secretary of State shall consult with and seek to secure agreement from the devolved administrations on the conduct of the referendum within the relevant part of the United Kingdom.’.

Amendment 64, page 2, line 11, at end add—

‘(3A) Results for the referendum will be published for European parliamentary constituencies, except that Gibraltar’s shall be published separately from the rest of the South West return.’.

Amendment 65, page 2, line 11, at end insert—

‘(3A) Persons who are resident in part of the United Kingdom that has voted to leave the United Kingdom or that has formed an independent country, or that is in the process of negotiating such independence or holding a referendum on independence will have their votes counted separately and be subject to a separate declaration.’.

Amendment 85, page 2, line 11, at end insert—

‘(3A) Those entitled to vote in the referendum who do not without reasonable excuse cast their vote shall pay a penalty of £50.’.

Amendment 84, page 2, line 14, at end insert—",uneindeutig
"It has been said by people from all parties that somehow or another Brexit presents a moment of stress for the Union of the United Kingdom of Great Britain and Northern Ireland. The truth is that that is the Union that matters the most to me. I often say that I did not sleep very much in the weeks leading up to the referendum in 2014. That was a time of intense worry and concern for me, and I felt nothing like that before the June 2016 vote. The Union that matters the most to me and to millions of Scots is the Union that we have with England, Wales and Northern Ireland. Here are the realities to stem any thought—other than the flight of imaginative fancy that we hear from nationalist politicians in Scotland and in this place—that there would be any desire to break up this hugely successful Union of nations that we call the United Kingdom: Scottish exports to the United Kingdom are worth £46 billion; Scottish exports to the rest of the world are worth £17 billion; and Scottish exports to the EU27 are worth £13 billion. According to the Fraser of Allander Institute, 125,000 Scottish jobs are related to EU exports—I do not want to lose one of them—but 529,000 Scottish jobs are related to business with the rest of the United Kingdom. These are the economic facts of life.",Economic
"We need much more thought about how social and economic progress for all our communities go hand in hand. In the light of the growing uncertainty we face as a nation, and the need for us to consider much more thoughtfully the turning point we face, we need a strategy for how we go forwards and not backwards as a nation.

The Queen’s Speech lacked a positive vision for our country’s future. It should have had a vision for an end to unemployment and underemployment, with food banks becoming a thing of the past; a vision for children growing up without mental health issues; a vision for a nation that is proud, confident and prosperous; and a vision of a nation happy, with diverse communities living side by side with mutual respect. A vision of a better society was what our country needed, and I am sorry to say that this Queen’s Speech did not deliver it.",Human Impact
"I am disappointed that the hon. Lady looks to undermine the Welsh economy. She needs to recognise that unemployment is at record low levels, economic activity is at record high levels, exports are growing and manufacturing is prospering. When it comes to Brexit, she also needs to recognise that when she voted against the deal on 29 March, she was the one who increased the prospect of no deal.",Economic
"In response to my Adjournment debate of 11 February and in advance of this ten-minute rule Bill today, the commission finally published guidance with examples on the vexed question of notional spending—an undated document that accompanied a letter to me of 8 March. This new guidance suggests that unauthorised expenditure becomes an election expense for reporting if there has been active engagement in the spending activity so that the “made use of” threshold is reached. It cannot be right that somebody’s liberty, reputation and livelihood can be at stake based on three words and a potential prosecutor’s interpretation of a candidate’s knowledge or otherwise of an activity that was not authorised.",Moral Value
"On the amendments of the hon. Member for Eltham (Clive Efford), I gently say that the motion in the Prime Minister’s name as tabled provides for a full five days of debate, as recommended by the Exiting the European Union Committee and the Procedure Committee, following their consultations and evidence taken across the House on what provision should best govern proceedings.

The timeframe being provided strikes the optimal balance between ensuring full and proper scrutiny and debate on such an important decision and vote and allowing the time for the legislation that will give effect to that decision to pass through Parliament by 29 March 2019. The Government have been determined to make sure the House is able to carry out full scrutiny and play its essential role as we move towards leaving the EU, and the motion tabled reflects that.",uneindeutig
"I recently watched the film “Amazing Grace”, which shows Wilberforce’s journey to get this House to ban slavery. I do not believe that any Member here is interested in reinstating slavery for anyone in the world, let alone our own citizens. We have a history of protecting the little man and little woman, and that will not change because, in theory, there is a possibility that it could change. We are still interested in doing the right thing in this place, and we are still accountable to the public for the decisions that are made. Yes, the Brexit team will need to work on the nuances of the rights of our workers in Europe, but intimating that this will be the time to eradicate rights is mischief and nothing more.",Moral Value
"The Bill and the agreement that it seeks to implement represent a compromise. It is a compromise that I believe is acceptable, but I will not conceal the fact that I and many other Members on this side of the House will find elements of it difficult and uncomfortable. My decision to support the Government tonight rests above all on what I and the great majority of Members on both sides of the House pledged to the electorate in 2016—that we would, however we campaigned and however we voted, respect the decision that they took in the referendum.",Moral Value
"I will not, because of the time. We have had to deal with covid, a global energy crisis and Russia’s illegal, barbaric invasion of Ukraine, yet we have never once lost sight of our core manifesto promise. It is this Government who got Brexit done—not finished, but done, none the less. It is because of Brexit that we were able to develop the world’s first approved vaccine, followed by the fastest vaccine roll-out in Europe, as has been highlighted by my hon. Friend the Member for Orpington (Gareth Bacon).",Powerlessness
"We have heard today that this will all be taken care of in the great repeal Bill, and I am sure we all hope it will. Last week, the Minister said he was keen to protect consumers, and I am optimistic that that will be in evidence today. His reasons for resisting reviewing the impact of provisions under this amendment do not seem clear. Periodic reviews still make sense; having a review within one year will inform the impact of the provisions and will still be helpful. The Minister is an eminent and sensible man, but I am at a loss here: if ATIPAC already carries out yearly reviews, why resist this? The reviews we are talking about merely write into legislation something that it appears is already happening. What has the Minister to lose? The committee provides advice, we are told, and this amendment writes into legislation—",uneindeutig
"The right to have a legal form that has withstood that number of centuries is not a casual thing. It is the most extensive, worldwide system of justice: one thinks of India, Australia, Canada, the United States and South Africa. It is a huge range, yet the way in which the Government have come to their conclusion confronts us with a clear loss of confidence in the very essence of what this Parliament is about and who we are. We cannot divorce ourselves from that tradition and one cannot accept that it will be swept aside by mandates from bureaucrats on the European continent. This is not an attack on them; it is an argument for confidence in our own constitution and legal system.

I believe, although some will disagree, that, by and large, the people of this country have confidence in our legal system and the fact that it will secure their liberty. The equal recognition of different judicial systems is a very alien concept. The rules and laws of Roman law and civic law are different from our laws. We do it case by case, and from that we found a tradition of what enforces the things that matter to this country—the defence of something absolutely essential to the development of our freedoms and liberty.",Powerlessness
"People might ask whether that is possible. Yes, it is. We have already heard that the average increase in wages is £10,000 more in all OECD countries except this one. This is a failed country, thanks to the legacy of the Tories over so many years, including George Osborne, who we now hear is giving advice to the Chancellor. The Chancellor might be better off listening to Gordon Brown if he wants some advice.

The OECD, of course, has shown that greater inequality means less growth. We need a Government who are fair, strong and green, which this Government are not. The Chancellor tells us he aims to get education expenditure up to the 2010 level, where Labour left it, by next year. What sort of record is that? We know that in the last 10 years the amount spent on further education is 14% down and the amount spent on sixth forms is 28% down. How are we going to build growth if we are not investing in our young people for the future? In Swansea, they have announced they are possibly closing 50 projects and losing 270 jobs in business-linked green projects at the university, because they will no longer have any EU money, which the Government promised to continue, but have not.",Economic
"Most of us—certainly those of us on the Conservative Benches—accept that a good trade deal is better than no deal, that there is always give and take in a negotiation, and that it is important that we meet our financial commitments. However, does the Minister accept that this issue is largely a storm in a teacup, because nothing is agreed until everything is agreed? It is important to make that point and not to listen to the few siren voices who still refuse to accept the result of the referendum.",Conflict
"From Airbus in Bristol to Nissan in Sunderland, millions of British jobs depend upon supply chains that crisscross the channel. Ministers fantasise about replacing them with American or Australian ones, and then, as they did yesterday, hire 80 trucks to drive around Kent in a ghost of Brexit future pantomime of the chaos to come. The Minister for Business, Energy and Industrial Strategy has acted honourably in saying he will not be part of a Government who allow a no-deal Brexit, so will the Secretary of State reassure Aston Martin, Brompton the bicycle manufacturer, and the other businesses stockpiling parts—spending money that could be spent creating jobs—by saying he understands the requirements of business and geography and rule out a no deal now?",Economic
"Interestingly, the referendum announced by the Prime Minister, which I think should take place during this Parliament, is a very good example—indeed, it is a perfect example—of something that does not fall under the 2011 Act. However, it is the opinion of the Prime Minister—it is certainly my opinion and that of many hon. Members present—that the proposals that are about to be announced, or that he thinks are likely to be announced, as well as what has already been transferred, the structure of the treaties and the impact of the provisions, past and present, on the United Kingdom, should be subject to a referendum, because of the unfortunate, aggregate effect that they continue to have on the United Kingdom.",Powerlessness
"Some of the differences between our jurisdiction and those of the other member states are sometimes a little over-dramatised. In this country, we rightly place great emphasis on the charging process and on the process that follows, from charge up to and including trial. One of the great differences in our way of proceeding in criminal matters is to be found following the decision to charge and during the detention of the defendant. In other member states, the process is often much more inquisitorial, with a heavy degree of judicial involvement in the investigation. It can involve a wholly different way of dealing with criminal proceedings from that of England and Wales, and indeed of Scotland.",uneindeutig
